seriesId,frequencyCode,spanishTitle,englishTitle,firstObservation,lastObservation,updatedAt,createdAt,frequency,search_text
F033.DDI.FLU.R.CLP.2008.2012MAR.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2012, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Mar-2012, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-10-2011,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2012, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Mar-2012, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2012MAY.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2012, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in May-2012, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-01-2012,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2012, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in May-2012, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2012NOV.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2012, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Nov-2012, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-07-2012,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2012, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Nov-2012, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2013AGO.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2013, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Aug-2013, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-04-2013,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2013, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Aug-2013, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2013MAR.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2013, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Mar-2013, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-10-2012,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2013, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Mar-2013, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2013MAY.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2013, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in May-2013, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-01-2013,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2013, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in May-2013, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2013NOV.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2013, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Nov-2013, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-07-2013,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2013, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Nov-2013, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2014AGO.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2014, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Aug-2014, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-04-2014,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2014, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Aug-2014, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2014MAR.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2014, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Mar-2014, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-10-2013,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2014, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Mar-2014, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2014MAY.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2014, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in May-2014, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-01-2014,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2014, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in May-2014, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2014NOV.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2014, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Nov-2014, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-07-2014,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2014, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Nov-2014, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2015AGO.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2015, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Aug-2015, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-04-2015,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2015, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Aug-2015, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2015MAR.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2015, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Mar-2015, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-10-2014,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2015, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Mar-2015, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2015MAY.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2015, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in May-2015, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-01-2015,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2015, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in May-2015, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2015NOV.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2015, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Nov-2015, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-07-2015,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2015, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Nov-2015, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2016AGO.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2016, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Aug-2016, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-04-2016,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2016, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Aug-2016, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2016MAR.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2016, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Mar-2016, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-10-2015,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2016, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Mar-2016, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2016MAY.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2016, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in May-2016, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-01-2016,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2016, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in May-2016, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2008.2016NOV.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2016, referencia 2008 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Nov-2016, 2008 benchmark compilation (billions of pesos)",01-01-2003,01-07-2016,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2016, referencia 2008 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Nov-2016, 2008 benchmark compilation (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2017AGO.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2017, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Aug-2017, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-04-2017,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2017, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Aug-2017, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2017MAR.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2017, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Mar-2017, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-10-2016,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2017, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Mar-2017, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2017MAY.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2017, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in May-2017, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-01-2017,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2017, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in May-2017, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2017NOV.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2017, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Nov-2017, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-07-2017,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2017, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Nov-2017, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2018AGO.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2018, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Aug-2018, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-04-2018,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2018, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Aug-2018, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2018MAR.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2018, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Mar-2018, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-10-2017,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2018, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Mar-2018, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2018MAY.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2018, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in May-2018, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-01-2018,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en May-2018, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in May-2018, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2018NOV.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2018, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Nov-2018, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-07-2018,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Nov-2018, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Nov-2018, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2019AGO.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2019, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Aug-2019, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-04-2019,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Ago-2019, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Aug-2019, benchmark compilation 2013 (billions of pesos)"
F033.DDI.FLU.R.CLP.2013.2019MAR.T,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2019, referencia 2013 (miles de millones de pesos)","Domestic demand, volume at prices of the previous year chained published in Mar-2019, benchmark compilation 2013 (billions of pesos)",01-01-2003,01-10-2018,18-03-2020,18-03-2020,QUARTERLY,"Demanda interna, volumen a precios del año anterior encadenado, publicado en Mar-2019, referencia 2013 (miles de millones de pesos) Domestic demand, volume at prices of the previous year chained published in Mar-2019, benchmark compilation 2013 (billions of pesos)"
