model,dependent_variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Tipo de cambio USD/CLP,log(USDCLP),(Intercept),2.4173428439059603,0.2296545852418427,10.52599425071494,1.608454537459052e-25,1.9670682120978527,2.8676174757140678
Tipo de cambio USD/CLP,log(USDCLP),trend,8.072355687165318e-5,8.440037062473408e-6,9.56436047308027,2.0908472763999353e-21,6.417551113265793e-5,9.727160261064843e-5
Tipo de cambio USD/CLP,log(USDCLP),l_pcu,-0.13654589116881916,0.011218999710510921,-12.1709505920471,2.1673619195777285e-33,-0.15854253869312546,-0.11454924364451285
Tipo de cambio USD/CLP,log(USDCLP),l_wti,0.008923914386033334,0.004880285350359828,1.8285640583240415,0.06755229833484934,-6.446674340843932e-4,0.01849249620615106
Tipo de cambio USD/CLP,log(USDCLP),l_vix,0.04716671633323183,0.0031613065872404785,14.920006975471464,8.21673099453455e-49,0.04096846795903433,0.053364964707429324
Tipo de cambio USD/CLP,log(USDCLP),l_dtw,1.0802802757463201,0.038207721792683925,28.273873056549892,3.576199580884856e-158,1.0053679118398458,1.1551926396527945
Tipo de cambio USD/CLP,log(USDCLP),l_cny,-0.5319128613304713,0.043733823581049686,-12.162505305412047,2.393223215425725e-33,-0.6176600337188674,-0.4461656889420753
Tipo de cambio USD/CLP,log(USDCLP),l_eq_nsq,0.16117014362595286,0.010985161840471649,14.671622135976925,2.6375427269166413e-47,0.13963197273395,0.18270831451795572
Tipo de cambio USD/CLP,log(USDCLP),l_eq_cny,-0.18752502093112325,0.0076082350789168874,-24.64763759084839,1.4154468022853812e-123,-0.20244218552969298,-0.17260785633255352
Tasa soberana 10Y CLP,10YCLP,(Intercept),52.01368125885711,2.155100095355822,24.135157977555235,5.82122454123812e-119,47.78826466189201,56.239097855822216
Tasa soberana 10Y CLP,10YCLP,trend,0.001999152139066257,1.0457512031462662e-4,19.116900205819235,1.7800722061875023e-77,0.0017941159785838411,0.002204188299548673
Tasa soberana 10Y CLP,10YCLP,y10_tsy,0.7278853108206936,0.015996398347356795,45.50307481814915,0,0.6965218269554921,0.7592487946858951
Tasa soberana 10Y CLP,10YCLP,l_vix,0.028393696527188896,0.04440723893338522,0.6393934234412085,0.5226099248867941,-0.0586737602553882,0.115461153309766
Tasa soberana 10Y CLP,10YCLP,l_dtw,-0.3963046845250071,0.2930846327352511,-1.3521851378778929,0.1764056599541573,-0.9709437345365023,0.17833436548648807
Tasa soberana 10Y CLP,10YCLP,l_cny,-14.618528018480593,0.46493167113345457,-31.442314916603028,8.416294099184178e-191,-15.530100526827432,-13.706955510133753
Tasa soberana 10Y CLP,10YCLP,l_eq_nsq,-2.5521109777407234,0.1454652397565343,-17.544473043953325,4.773233524301701e-66,-2.837318722695737,-2.26690323278571
