model,dependent_variable,n_obs,r_squared,adj_r_squared,sample_start,sample_end,residual_sd
Tipo de cambio USD/CLP,log(USDCLP),3417,0.9458916776700607,0.9457646628289106,2012-10-05,2025-11-11,0.046063937760286916
Tasa soberana 10Y CLP,10YCLP,3421,0.6725388076897737,0.6719633047155905,2012-10-05,2025-11-14,0.5912989540876072
