product,product_label,h1,h3,h6
cap_30_89,Captación 30-89d,0.06646561262290349,0.0699188997271262,0.06960884283152181
cap_90_1y,Captación 90d-1a,0.05086491451522017,0.04958229331948406,0.04518965501123505
comercial_cuotas,Comercial: cuotas,0.7230320151094949,0.8975603970174074,0.872143672812638
comercial_sobregiro,Comercial: sobregiro,0.8155896925100685,0.7307343845302153,1.269590605393571
comercial_total,Comercial total,0.9161282251646056,1.0709245330944204,1.271255495950726
consumo_cuotas,Consumo: cuotas,1.0242836115131753,0.34265860300157486,0.5766689952614542
consumo_tarj_cuota,Tarjeta: cuota,0.14472202949541862,1.3413171391146632,1.1335471429827833
consumo_tarj_rot,Tarjeta: rotativo,0.2772892028834998,1.174678662175112,1.1201591221512914
consumo_total,Consumo total,0.8373615403928334,1.1617815612890452,1.3392494811542004
vivienda_uf,Vivienda UF >3 años,0.1616096017611004,0.0505475128817234,0.08147568446933749
