product,horizon,estimate,std_error,conf_low,conf_high
cap_30_89,0,0.042778757652849324,0.006035919500467742,0.03094835543193255,0.0546091598737661
cap_30_89,1,0.07999104895824885,0.00857329223109158,0.06318739618530936,0.09679470173118834
cap_30_89,2,0.10876782382617566,0.012828283467476099,0.0836243882299225,0.13391125942242882
cap_30_89,3,0.11278516993499534,0.01866048682807373,0.07621061575197083,0.14935972411801984
cap_30_89,4,0.11979871568028984,0.024648201630844777,0.07148824048383408,0.16810919087674558
cap_30_89,5,0.11630576533738983,0.0334811516257223,0.050682708150974115,0.18192882252380554
cap_30_89,6,0.11644974338780319,0.04022953914787801,0.03759984665796229,0.19529964011764409
cap_30_89,7,0.11704212575404438,0.0473435176887905,0.024248831084015002,0.20983542042407377
cap_30_89,8,0.11097445994455159,0.054013322075933456,0.005108348675722019,0.21684057121338116
cap_30_89,9,0.1069385582651097,0.06001469266756218,-0.010690239363312176,0.22456735589353158
cap_30_89,10,0.10743864615020451,0.062398899809534066,-0.014863197476482251,0.22974048977689127
cap_30_89,11,0.10003615558755356,0.06384478298509258,-0.0250996190632279,0.22517193023833504
cap_30_89,12,0.1056632596057649,0.06704758547911693,-0.025750007933304273,0.23707652714483407
cap_90_1y,0,0.03433556726338698,0.005688209121936975,0.023186677384390512,0.04548445714238346
cap_90_1y,1,0.06491212931612672,0.00865240223644546,0.04795342093269362,0.08187083769955983
cap_90_1y,2,0.08823076262559076,0.01646362128174923,0.055962064913362274,0.12049946033781925
cap_90_1y,3,0.08813093332691065,0.026157051177650447,0.03686311301871577,0.1393987536351055
cap_90_1y,4,0.08127393629248411,0.033281130928851294,0.01604291967193558,0.14650495291303264
cap_90_1y,5,0.0798061817753185,0.04109562470869497,-7.412426537236477e-4,0.16035360620436062
cap_90_1y,6,0.0820294609694652,0.04728736636717398,-0.0106537771101958,0.1747126990491262
cap_90_1y,7,0.08165610120408735,0.05407314320564552,-0.02432725947897786,0.18763946188715258
cap_90_1y,8,0.07068323404737521,0.06164625862619513,-0.05014343285996725,0.19150990095471768
cap_90_1y,9,0.06212075422197162,0.06660015796253572,-0.06841555538459838,0.19265706382854164
cap_90_1y,10,0.06335579583242476,0.06722047911661622,-0.06839634323614302,0.19510793490099254
cap_90_1y,11,0.05295116373394851,0.06965388889647808,-0.08357045850314854,0.18947278597104555
cap_90_1y,12,0.06041843382224036,0.07355265429882427,-0.0837447686034552,0.2045816362479359
comercial_cuotas,0,0.21784109865565865,0.08684841030114185,0.04761821446542064,0.38806398284589666
comercial_cuotas,1,0.49348055271171676,0.08567639561986205,0.32555481729678715,0.6614062881266464
comercial_cuotas,2,0.82860477734704,0.1215739835241987,0.5903197696396105,1.0668897850544694
comercial_cuotas,3,0.6887152405231267,0.1800241539241576,0.3358678988317778,1.0415625822144756
comercial_cuotas,4,0.9119903264118867,0.2879337225278402,0.34764023025731994,1.4763404225664534
comercial_cuotas,5,1.1109411120815027,0.3238499104410463,0.476195287617052,1.7456869365459533
comercial_cuotas,6,1.121471223323186,0.43151006264342145,0.27571150054208005,1.967230946104292
comercial_cuotas,7,1.1089005399575844,0.46282848920586167,0.2017567011140956,2.016044378801073
comercial_cuotas,8,1.3444672368765338,0.5579586957999416,0.2508681931086483,2.4380662806444193
comercial_cuotas,9,1.5376595595846216,0.637998744059153,0.28718202122868175,2.7881370979405613
comercial_cuotas,10,1.3045971235399907,0.6615332040451811,0.007992043611435795,2.601202203468546
comercial_cuotas,11,1.2766225690880282,0.7098014179824224,-0.11458821015751952,2.667833348333576
comercial_cuotas,12,1.396711463461376,0.7137629396580657,-0.0022638982684328735,2.7956868251911846
comercial_sobregiro,0,0.4486142851295,0.37590923384562486,-0.2881678132079247,1.1853963834669248
comercial_sobregiro,1,0.636043281382213,0.39278918395727,-0.13382351917403623,1.4059100819384622
comercial_sobregiro,2,1.176716308649974,0.34910235304051757,0.49247569669055946,1.8609569206093883
comercial_sobregiro,3,0.959993393983662,0.3930137752766835,0.18968639444136237,1.7303003935259618
comercial_sobregiro,4,1.6800889802495218,0.4763237563161872,0.746494417869795,2.6136835426292486
comercial_sobregiro,5,1.4594436773579837,0.4854544837746545,0.507952889159661,2.4109344655563065
comercial_sobregiro,6,2.0210921251501084,0.5253672465328004,0.9913723219458195,3.0508119283543973
comercial_sobregiro,7,2.1322102211372007,0.6557303448857609,0.8469787451611095,3.4174416971132917
comercial_sobregiro,8,2.213452008633201,0.6949487335003429,0.851352490972529,3.5755515262938733
comercial_sobregiro,9,2.0183017684268956,0.7850008794230463,0.4797000447577249,3.5569034920960663
comercial_sobregiro,10,1.9852043453295298,0.8640842580630722,0.2915991995259084,3.6788094911331513
comercial_sobregiro,11,2.4692740577873638,0.9417704342287389,0.6234040066990356,4.315144108875692
comercial_sobregiro,12,2.6838569485655817,1.0418750663276266,0.6417818185634334,4.72593207856773
comercial_total,0,0.43654664607236077,0.18654853653949274,0.07091151445495497,0.8021817776897666
comercial_total,1,0.9274599168852125,0.2085670048820536,0.5186685873163874,1.3362512464540375
comercial_total,2,1.51303878642066,0.2345236285508006,1.0533724744610908,1.9727050983802292
comercial_total,3,1.3833185672863033,0.26285014425419995,0.8681322845480715,1.8985048500245352
comercial_total,4,1.4279195806208724,0.2662006532087622,0.9061663003316985,1.9496728609100464
comercial_total,5,1.5998817248446286,0.29516696910609247,1.0213544653966875,2.17840898429257
comercial_total,6,1.7318969445671,0.33147110815659914,1.0822135725801658,2.381580316554034
comercial_total,7,1.649614792452779,0.3663489154892955,0.9315709180937599,2.3676586668117983
comercial_total,8,1.852723827949214,0.40605338510593486,1.0568591931415816,2.6485884627568463
comercial_total,9,2.0861976890035554,0.4467963543948472,1.210476834389655,2.9619185436174558
comercial_total,10,1.7276075304537566,0.4715062374947059,0.8034553049641331,2.65175975594338
comercial_total,11,1.6947655826508565,0.5080534919632274,0.698980738402931,2.690550426898782
comercial_total,12,2.00041784018847,0.5452936874292803,0.9316422128270807,3.0691934675498596
consumo_cuotas,0,0.12045890528693462,0.1464707336274816,-0.16662373262292926,0.4075415431967985
consumo_cuotas,1,0.8869281580009748,0.19155363775783849,0.5114830279956113,1.2623732880063383
consumo_cuotas,2,0.5181809334452039,0.2413948088793395,0.04504710804169848,0.9913147588487092
consumo_cuotas,3,0.6870205810872136,0.29494281797782573,0.10893265785067519,1.2651085043237522
consumo_cuotas,4,0.5974765243157012,0.38449281608062397,-0.15612939520232172,1.3510824438337241
consumo_cuotas,5,0.6400815761259881,0.536480735163093,-0.41142066479367423,1.6915838170456505
consumo_cuotas,6,0.6781410739341779,0.4824215780156435,-0.2674052189764834,1.6236873668448393
consumo_cuotas,7,0.8369125860290466,0.5343362378356935,-0.21038644012891272,1.884211612187006
consumo_cuotas,8,0.7933720081062454,0.6183893116850524,-0.4186710427964573,2.005415059008948
consumo_cuotas,9,0.5970435240196961,0.7051556784523052,-0.785061605746822,1.9791486537862142
consumo_cuotas,10,0.7943672480756283,0.7182764341227653,-0.6134545628049917,2.2021890589562485
consumo_cuotas,11,0.6458096331058903,0.6970839012404689,-0.7204748133254287,2.0120940795372095
consumo_cuotas,12,0.5937867091714637,0.7145896181180835,-0.80680894233998,1.9943823606829074
consumo_tarj_cuota,0,0.7481737154396128,0.4363446374529752,-0.10706177396821859,1.603409204847444
consumo_tarj_cuota,1,0.7620230932107364,0.8204862522839403,-0.8461299612657867,2.3701761476872596
consumo_tarj_cuota,2,1.4895003923092545,0.5323596127901131,0.4460755512406327,2.5329252333778762
consumo_tarj_cuota,3,0.8188914635644503,0.49471027194292844,-0.15074066944368947,1.78852359657259
consumo_tarj_cuota,4,0.7561673139689471,0.47132024525496513,-0.1676203667307845,1.6799549946686787
consumo_tarj_cuota,5,0.8968059824514986,0.445248421833561,0.02411907565771898,1.7694928892452781
consumo_tarj_cuota,6,1.1368662185480423,0.5755980638571965,0.008694013387937183,2.2650384237081473
consumo_tarj_cuota,7,0.9748998517803549,0.4670535953477054,0.05947480489885226,1.8903248986618575
consumo_tarj_cuota,8,1.6522383504428124,0.645068976139321,0.38790315720974333,2.9165735436758817
consumo_tarj_cuota,9,0.6358118679591392,0.4757794080201301,-0.2967157717603157,1.5683395076785942
consumo_tarj_cuota,10,1.631736810169073,0.5999661587948342,0.45580313893119806,2.807670481406948
consumo_tarj_cuota,11,1.1519979491131709,0.6218800524316905,-0.06688695365294262,2.3708828518792844
consumo_tarj_cuota,12,0.9502634596531696,0.653581308102484,-0.33075590422769907,2.2312828235340385
consumo_tarj_rot,0,0.4031879064411363,0.1784359831819961,0.053453379404423906,0.7529224334778486
consumo_tarj_rot,1,0.5933243236162419,0.22012999087045013,0.16186954151015964,1.0247791057223241
consumo_tarj_rot,2,0.5886206781125992,0.29550584286686843,0.009429226093537135,1.1678121301316613
consumo_tarj_rot,3,0.9191622924347697,0.2652733709586896,0.3992264853557381,1.4390980995138012
consumo_tarj_rot,4,1.0597198434455486,0.31110142691180037,0.44996104669841985,1.6694786401926773
consumo_tarj_rot,5,1.5671969451061594,0.3345260392086708,0.9115259082571646,2.222867981955154
consumo_tarj_rot,6,1.7874567598416682,0.4417415328260041,0.9216433555027002,2.653270164180636
consumo_tarj_rot,7,1.6252426742120583,0.6098688725725321,0.4298996839698954,2.820585664454221
consumo_tarj_rot,8,1.574632686019289,0.6577568614766193,0.2854292375251153,2.8638361345134626
consumo_tarj_rot,9,1.8808234163924307,0.603193908269579,0.6985633561840559,3.0630834766008057
consumo_tarj_rot,10,1.6874067860479174,0.7665721937838675,0.18492528623153714,3.1898882858642974
consumo_tarj_rot,11,1.7648562081307666,0.8053134184021192,0.18644190806261296,3.3432705081989202
consumo_tarj_rot,12,1.6564291520184729,0.8096451865497145,0.06952458638103254,3.243333717655913
consumo_total,0,0.3564983460623497,0.2038992590546492,-0.04314420168476274,0.7561408938094621
consumo_total,1,0.9993622306698393,0.2317445924924488,0.5451428293846396,1.453581631955039
consumo_total,2,1.4356109810236057,0.3262856545033371,0.796091098197065,2.0751308638501467
consumo_total,3,1.492085629878149,0.32970174677555497,0.8458702061980613,2.1383010535582367
consumo_total,4,1.41072332478706,0.3194149195995612,0.7846700823719202,2.0367765672022
consumo_total,5,1.885874781656973,0.3229067932513831,1.2529774668842621,2.518772096429684
consumo_total,6,2.1996283477415455,0.3867622654317755,1.4415743074952654,2.9576823879878256
consumo_total,7,1.8829595914912949,0.43536664644634543,1.029640964456458,2.736278218526132
consumo_total,8,1.665931860128674,0.4847177588186631,0.7158850528440943,2.6159786674132537
consumo_total,9,1.7169743336092778,0.4599066814362395,0.8155572379942484,2.618391429224307
consumo_total,10,1.671551447122852,0.5724328848606706,0.5495829927959377,2.7935199014497663
consumo_total,11,1.5226451946984356,0.6164241828165562,0.31445379637798543,2.7308365930188856
consumo_total,12,1.6226729175439065,0.6453268390981602,0.3578323129115124,2.8875135221763006
vivienda_uf,0,0.02120679399391322,0.036518998937218695,-0.05037044392303543,0.09278403191086186
vivienda_uf,1,0.12101668295631822,0.08843590823268584,-0.052317697179746006,0.29435106309238246
vivienda_uf,2,0.14286934989612404,0.12551304515379524,-0.10313621860531463,0.3888749183975627
vivienda_uf,3,0.12583685119596275,0.12305276771525053,-0.11534657352592828,0.3670202759178538
vivienda_uf,4,0.09960332523499651,0.11471392895690516,-0.12523597552053758,0.32444262599053064
vivienda_uf,5,0.07567440035880152,0.11255908700604214,-0.14494141017304107,0.2962902108906441
vivienda_uf,6,0.04941833190397362,0.12216636646459486,-0.1900277463666323,0.28886441017457953
vivienda_uf,7,0.0016781509827516806,0.13459763206982073,-0.26213320787409694,0.26548950983960035
vivienda_uf,8,0.025219964672286727,0.1453794447851759,-0.259723747106658,0.31016367645123144
vivienda_uf,9,0.059089561660861295,0.14967839432264543,-0.23428009121152374,0.35245921453324636
vivienda_uf,10,0.06924849638233858,0.15171628847453306,-0.22811542902774617,0.36661242179242337
vivienda_uf,11,0.04756643633758613,0.15098348527203093,-0.2483611947955945,0.3434940674707667
vivienda_uf,12,0.07988104310253832,0.16070143114825652,-0.23509376194804446,0.39485584815312114
