horizon,beta,type,cumulative,product
0,0.043071546990212,total,0.043071546990212,cap_30_89
1,0.023394065632691495,total,0.06646561262290349,cap_30_89
2,0.003976659580198762,total,0.07044227220310226,cap_30_89
3,-5.233724759760588e-4,total,0.0699188997271262,cap_30_89
4,0.001398447340329568,total,0.07131734706745577,cap_30_89
5,-0.006039475338674158,total,0.0652778717287816,cap_30_89
6,0.004330971102740209,total,0.06960884283152181,cap_30_89
0,0.03418234263777548,total,0.03418234263777548,cap_90_1y
1,0.01668257187744469,total,0.05086491451522017,cap_90_1y
2,-0.0065670099235883685,total,0.044297904591631805,cap_90_1y
3,0.005284388727852253,total,0.04958229331948406,cap_90_1y
4,-0.005410142384152081,total,0.04417215093533198,cap_90_1y
5,-0.005977402436730813,total,0.03819474849860116,cap_90_1y
6,0.0069949065126338845,total,0.04518965501123505,cap_90_1y
0,0.26629726011583915,total,0.26629726011583915,comercial_cuotas
1,0.45673475499365573,total,0.7230320151094949,comercial_cuotas
2,0.2847714101439525,total,1.0078034252534473,comercial_cuotas
3,-0.11024302823603996,total,0.8975603970174074,comercial_cuotas
4,0.027131745320444527,total,0.924692142337852,comercial_cuotas
5,0.019739176541912498,total,0.9444313188797645,comercial_cuotas
6,-0.0722876460671264,total,0.872143672812638,comercial_cuotas
0,0.5267899310305942,total,0.5267899310305942,comercial_sobregiro
1,0.28879976147947434,total,0.8155896925100685,comercial_sobregiro
2,0.23853445981775465,total,1.0541241523278233,comercial_sobregiro
3,-0.3233897677976079,total,0.7307343845302153,comercial_sobregiro
4,0.5224840032731514,total,1.2532183878033667,comercial_sobregiro
5,0.23882376974266611,total,1.4920421575460328,comercial_sobregiro
6,-0.2224515521524617,total,1.269590605393571,comercial_sobregiro
0,0.4897790657089423,total,0.4897790657089423,comercial_total
1,0.42634915945566326,total,0.9161282251646056,comercial_total
2,0.3797371211320378,total,1.2958653462966434,comercial_total
3,-0.22494081320222306,total,1.0709245330944204,comercial_total
4,0.001322074117607198,total,1.0722466072120276,comercial_total
5,0.14371420786869218,total,1.2159608150807197,comercial_total
6,0.055294680870006496,total,1.271255495950726,comercial_total
0,0.21277123424866595,total,0.21277123424866595,consumo_cuotas
1,0.8115123772645094,total,1.0242836115131753,consumo_cuotas
2,-0.3806115885226914,total,0.643672022990484,consumo_cuotas
3,-0.3010134199889091,total,0.34265860300157486,consumo_cuotas
4,-0.06078616052790429,total,0.28187244247367055,consumo_cuotas
5,0.12484534941799855,total,0.4067177918916691,consumo_cuotas
6,0.1699512033697851,total,0.5766689952614542,consumo_cuotas
0,0.4198230724508086,total,0.4198230724508086,consumo_tarj_cuota
1,-0.27510104295538995,total,0.14472202949541862,consumo_tarj_cuota
2,0.8574113215614223,total,1.0021333510568409,consumo_tarj_cuota
3,0.3391837880578223,total,1.3413171391146632,consumo_tarj_cuota
4,-0.15177974437618202,total,1.189537394738481,consumo_tarj_cuota
5,-0.19449132936152352,total,0.9950460653769577,consumo_tarj_cuota
6,0.13850107760582567,total,1.1335471429827833,consumo_tarj_cuota
0,0.19402915574919272,total,0.19402915574919272,consumo_tarj_rot
1,0.08326004713430706,total,0.2772892028834998,consumo_tarj_rot
2,0.3063279519968728,total,0.5836171548803726,consumo_tarj_rot
3,0.5910615072947395,total,1.174678662175112,consumo_tarj_rot
4,-0.13577794660038747,total,1.0389007155747245,consumo_tarj_rot
5,0.0737438421151748,total,1.1126445576898993,consumo_tarj_rot
6,0.007514564461392104,total,1.1201591221512914,consumo_tarj_rot
0,0.32832811063222545,total,0.32832811063222545,consumo_total
1,0.509033429760608,total,0.8373615403928334,consumo_total
2,0.2279042450041012,total,1.0652657853969345,consumo_total
3,0.0965157758921106,total,1.1617815612890452,consumo_total
4,-0.036248207413054415,total,1.1255333538759908,consumo_total
5,0.31991750573418076,total,1.4454508596101716,consumo_total
6,-0.10620137845597122,total,1.3392494811542004,consumo_total
0,0.03436071013941987,total,0.03436071013941987,vivienda_uf
1,0.12724889162168052,total,0.1616096017611004,vivienda_uf
2,-0.048046361103332456,total,0.11356324065776793,vivienda_uf
3,-0.06301572777604453,total,0.0505475128817234,vivienda_uf
4,0.01182858536729895,total,0.06237609824902235,vivienda_uf
5,0.021196446176541175,total,0.08357254442556353,vivienda_uf
6,-0.0020968599562260336,total,0.08147568446933749,vivienda_uf
