Periodo,imacec,imacec_nm,imacec_fit,imacec_nm_fit,tipo
2018-01-01,2.198685661204493,2.259638281695062,2.4694484719983123,2.4122308480534285,Histórico
2018-02-01,2.191907875031484,2.4834400593255577,2.4587472811267146,2.3663137720192733,Histórico
2018-03-01,2.7293036170742555,2.4796324538310173,2.0288817091141382,2.436902110777741,Histórico
2018-04-01,3.2564255380631684,2.8061601129122473,2.4914227500775223,2.9091604326367135,Histórico
2018-05-01,2.6671838631467883,3.041347631378983,3.013063156230236,2.627820552165125,Histórico
2018-06-01,2.7063452172203277,3.52890060781161,3.0050980272048133,3.2622437959934567,Histórico
2018-07-01,3.3925303392390793,2.833182993529668,3.0507817281119105,3.083928914464947,Histórico
2018-08-01,2.9541874871611213,2.7095693618263748,3.980870553870523,2.9694640202490796,Histórico
2018-09-01,2.2824384474599975,2.3996602104221174,3.0191080522933578,2.9221650682561844,Histórico
2018-10-01,2.464237612934344,1.5383412292162422,2.8508459258969703,2.4222110210685854,Histórico
2018-11-01,1.814632922875015,1.9838559989298368,2.4256034352964195,2.1773298885228916,Histórico
2018-12-01,1.5664945030719393,1.8176904333694328,2.1113028257868827,2.1063322556270863,Histórico
2019-01-01,1.6265567067924351,2.5017052413112664,1.5904107330863766,2.1063348516117015,Histórico
2019-02-01,0.5874743066369228,1.4700635503312574,1.449917477290416,2.100307984494393,Histórico
2019-03-01,0.5491876539586641,1.60561173832287,0.7278665854949476,1.781560154173434,Histórico
2019-04-01,0.9750849883036109,1.519115338215241,0.6447109979480636,1.6126384637452333,Histórico
2019-05-01,0.8340223388301076,1.21888192779464,0.6647574400735182,1.4153339045189957,Histórico
2019-06-01,1.4784853375381515,2.18056126000685,1.1163327564038708,1.6637684999204232,Histórico
2019-07-01,1.1665621679575369,2.237460280500095,1.7383545897769759,2.0277570791264234,Histórico
2019-08-01,1.1878649239659254,2.46695002689416,0.8108211783392675,2.090435351658667,Histórico
2019-09-01,2.5862595075686214,2.0885785354847792,1.8184605807576564,2.7874264332143768,Histórico
2019-10-01,2.1569030753053435,3.0943681489375616,1.5738302011492176,2.2984612250639085,Histórico
2019-11-01,2.497239483709148,2.2697816260812855,2.2954843890803462,2.180695616970943,Histórico
2019-12-01,2.077314321014575,3.0680100948254445,2.5160566092515304,3.1002476749897805,Histórico
2020-01-01,2.5430921232260495,3.666589300527387,2.38861864742379,3.199376013968773,Histórico
2020-02-01,2.8443690358839464,2.5220478285921835,2.2188222988925306,3.241579028911378,Histórico
2020-03-01,2.3004477820672014,2.573876553677554,2.3838103864107403,3.077924271581778,Histórico
2020-04-01,-8.202507197161774,-9.345695297145918,-0.8493306891698732,-1.4196519981704554,Histórico
2020-05-01,-6.770027274133543,-7.7505001980003945,-4.406620554338656,-5.065086573361044,Histórico
2020-06-01,-4.869463904417353,-6.33282104630224,-6.5598848111753965,-7.790721040934418,Histórico
2020-07-01,1.7593173551082417,2.017132896519172,-3.281998314504931,-4.191353210472516,Histórico
2020-08-01,2.4936976783036173,1.4248035600859366,-0.36838304390328563,-0.7198482632112725,Histórico
2020-09-01,1.5243729082708481,1.8053278526637295,2.461782002892234,1.7123237577140784,Histórico
2020-10-01,0.9297020329176819,1.2155914060228188,1.8077372954102187,1.2755333070593675,Histórico
2020-11-01,1.568172751805153,2.0425472102622444,0.8344635843334928,1.607475695903016,Histórico
2020-12-01,0.711662540011591,1.257125805294393,1.1164593536038323,1.6083210040953917,Histórico
2021-01-01,1.322700224965779,1.51519771028949,1.0353985560687442,1.4640257704143824,Histórico
2021-02-01,0.5689183549481317,2.0653043010059773,1.0808687070075567,1.406987506638346,Histórico
2021-03-01,8.998497378606649,8.54348120830784,3.4319084682320113,4.102249542740748,Histórico
2021-04-01,9.83153089884769,9.26969982254054,6.437631433767432,6.687403420061966,Histórico
2021-05-01,10.295386631998163,9.864364108661789,9.834718456229282,9.099112585993943,Histórico
2021-06-01,10.315760907975946,9.040771008013497,10.363998278149797,9.273852070000695,Histórico
2021-07-01,10.423968888878681,9.825051348544891,10.044964707853653,9.63474130607947,Histórico
2021-08-01,10.526772117264242,9.953569089982299,10.338541995746054,9.244442730139232,Histórico
2021-09-01,2.169436416889152,3.1735678366159528,7.58798947988712,7.2988634814535756,Histórico
2021-10-01,2.5120623166421163,2.4358027935805957,4.906091308788409,5.008035518079841,Histórico
2021-11-01,2.576589704652208,2.3099209444590274,2.8607263727981,2.586402070290564,Histórico
2021-12-01,3.070062485987525,2.8021062730393216,2.8208169301675223,2.593670228425817,Histórico
2022-01-01,2.6076755176613635,2.529660916571891,2.436221580849938,2.9160684322608015,Histórico
2022-02-01,1.541997533354865,2.297583652191963,2.636043999098279,2.7575318530682305,Histórico
2022-03-01,2.1296335877579184,2.114392728661004,2.623641262177874,2.2738944666507632,Histórico
2022-04-01,1.5987534923335172,1.5586012073376025,2.0149111862865543,1.9854384774211846,Histórico
2022-05-01,1.2590029980436384,1.7208592959477673,1.2826208678898552,1.5473187361560063,Histórico
2022-06-01,1.5974569200363886,1.639965253659188,1.3640126185879522,1.635180301650089,Histórico
2022-07-01,1.6515545959622577,1.250047172196877,1.8193992919774178,1.4647925808712434,Histórico
2022-08-01,1.5725120476464793,2.18428553651274,1.4302571548103473,1.7721122942074579,Histórico
2022-09-01,0.9034677776748214,1.793760763280602,1.486799664131077,1.5358900881086595,Histórico
2022-10-01,1.2291014541595566,1.3636170509056669,1.4286856065176208,1.9103910787932965,Histórico
2022-11-01,1.6622771707274466,2.2040774820815647,1.0332161829594213,2.1703364936732563,Histórico
2022-12-01,2.1430044553489838,1.8489502608495303,1.6632463543965461,1.77835822749804,Histórico
2023-01-01,1.8083303048618833,2.682343755972796,1.0608871419621702,2.3455517634926997,Histórico
2023-02-01,2.1729500048344317,3.0088985927625194,1.7853313446815275,2.6859335344560606,Histórico
2023-03-01,2.027694212231567,2.473190686635485,1.9398494694610042,2.621172560485475,Histórico
2023-04-01,2.168730945867688,3.1997917572308627,1.8111792588200173,2.9499834659955604,Histórico
2023-05-01,3.085855541993802,3.044403155921669,2.8355297260139283,2.9089433001247884,Histórico
2023-06-01,3.342496011428329,3.1564565983859953,2.508158821939782,3.157969528483384,Histórico
2023-07-01,2.7320411644039897,3.4359583029674052,2.9434531176011283,3.0190202397944907,Histórico
2023-08-01,3.048626754656769,2.5335408844724037,3.0737397878178863,3.048112805506671,Histórico
2023-09-01,2.614882611853033,2.1619086234151546,3.1588351659044607,2.834968843096351,Histórico
2023-10-01,1.9891656936579074,1.8985811042019722,2.1919261489277106,2.5607961059786044,Histórico
2023-11-01,2.1445582422033667,1.7076022555991592,2.5403264539435093,2.1625150342600645,Histórico
2023-12-01,2.3680010310864317,1.7696242615951379,2.1697999209041323,2.330231488176646,Histórico
2024-01-01,1.5154413825220414,1.7589736931272415,1.7639563891752923,1.5535631793851676,Histórico
2024-02-01,1.978643866825644,1.634231667770156,2.069554628710524,1.939023366677682,Histórico
2024-03-01,0.19125674532797943,1.789584305668714,1.278212255451923,1.7734320569566255,Histórico
2024-04-01,1.5287610017500894,1.535815119769343,1.0828329853448728,2.2006610977071563,Histórico
2024-05-01,1.2739736142591453,2.136656167966537,1.0154476416932434,1.618610626462744,Histórico
2024-06-01,1.2331834643136954,1.6879433832933093,1.2489776275588707,1.57687442979787,Histórico
2024-07-01,1.5664761087802217,2.926342927366091,1.3862570654305002,2.100465998180974,Histórico
2024-08-01,0.9577588386596827,2.4090724171468443,1.4180054725481288,1.8101456448579636,Histórico
2024-09-01,1.9121312448649943,2.1068589999172387,1.875292934804638,2.3493193593898685,Histórico
2024-10-01,2.390058624104657,2.2285777657885384,1.443862361169733,2.058386562229116,Histórico
2024-11-01,3.0613858197305843,2.929294843393699,2.9877835732308125,2.4591756496522112,Histórico
2024-12-01,2.4399055081904977,2.7843981371313022,2.142428034127955,2.7328625760488037,Histórico
2025-01-01,2.4374477718788476,3.1498300044261267,2.6083000928410813,3.4235503714543483,Histórico
2025-02-01,2.5992971825661852,3.0343687109886646,2.6392961224996547,3.2271382437285445,Histórico
2025-03-01,3.127006060116953,2.746590639608619,2.7914983051210878,2.8327038710922037,Histórico
2025-04-01,2.778714039363833,2.323048923749467,2.679330880727176,2.476732423611828,Histórico
2025-05-01,2.258324120327164,1.8955197523002232,2.6693175106799982,2.4446995647627303,Histórico
2025-06-01,2.4525205687452996,2.053630921347448,2.3732693424807247,1.7606748973772195,Histórico
2025-07-01,2.038831019739217,2.292875433350278,2.1025507137011745,2.5385400604629056,Histórico
2025-08-01,2.1402444007132,1.871542670335646,2.422932520654496,2.3675430385247793,Histórico
2025-09-01,1.2489505606150813,1.2035619293922206,1.8985958651804282,1.6720327646665392,Histórico
2025-10-01,1.2217215458609345,1.5980032120525633,1.3637447702479089,1.1294189716540912,Histórico
2025-11-01,1.082311525711014,1.6349312514111987,1.40922784625399,1.8173002244933478,Histórico
2025-12-01,0.6145940207471525,1.221914354941679,1.0497005776588533,1.4563146448219932,Histórico
2026-01-01,1.3576028977897072,1.6817230280424107,1.2213850111256985,1.822310289458462,Histórico
2026-02-01,1.457208513371998,1.800946326382694,1.300542354450523,1.1695876550903366,Histórico
2026-03-01,1.531817180823005,1.574244114819006,1.2416274445977193,1.5357940673429273,Histórico
2026-04-01,1.6589515511499808,2.3153144215509913,1.4092804883990864,1.8981458791804435,Histórico
2026-05-01,1.4338517031798332,2.6031387288918197,1.7283635463317557,2.1759775701951254,Histórico
2026-06-01,,,2.4,2.1,Nowcast
