Periodo,target_key,variable,corte,model_key,modelo,estado,forecast,lwr,upr,nivel_intervalo,eee_value,eee_survey_period,observed,fecha_actualizacion,run_timestamp,is_realtime,provenance
2026-07-01,total,IMACEC total,proxy,ar1,AR(1) de referencia,Benchmark retrospectivo de referencia,2.0040205486931613,-1.8965897562009277,5.90463085358725,0.8,1.1,2026-08-01,-1.487117150040529,2026-09-08,2026-09-08 17:23:37 UTC,FALSE,Benchmark de referencia posterior al dato efectivo
2026-07-01,no_minero,IMACEC no minero,proxy,ar1,AR(1) de referencia,Benchmark retrospectivo de referencia,1.3130976634032998,-2.855304369098644,5.481499695905244,0.8,1,2026-08-01,-0.30982965559617215,2026-09-08,2026-09-08 17:23:37 UTC,FALSE,Benchmark de referencia posterior al dato efectivo
2026-07-01,total,IMACEC total,proxy,ma3,Promedio móvil 3 meses,Benchmark retrospectivo de referencia,-0.14735135577902772,-6.412728099073987,6.118025387515931,0.8,1.1,2026-08-01,-1.487117150040529,2026-09-08,2026-09-08 17:23:37 UTC,FALSE,Benchmark de referencia posterior al dato efectivo
2026-07-01,no_minero,IMACEC no minero,proxy,ma3,Promedio móvil 3 meses,Benchmark retrospectivo de referencia,0.7316843817858724,-5.936220305832373,7.399589069404119,0.8,1,2026-08-01,-0.30982965559617215,2026-09-08,2026-09-08 17:23:37 UTC,FALSE,Benchmark de referencia posterior al dato efectivo
2026-07-01,total,IMACEC total,experimental,m4,M4 · Dinámico,Reestimación de referencia; el dato efectivo ya existe,-0.429007172250696,-2.639895164264398,1.7818808197630063,0.8,1.1,2026-08-01,-1.487117150040529,2026-09-08,2026-09-08 17:23:37 UTC,FALSE,Reestimación de referencia posterior al dato efectivo
2026-07-01,no_minero,IMACEC no minero,experimental,m4,M4 · Dinámico,Reestimación de referencia; el dato efectivo ya existe,-0.6960329744214488,-2.7626808625819885,1.3706149137390906,0.8,1,2026-08-01,-0.30982965559617215,2026-09-08,2026-09-08 17:23:37 UTC,FALSE,Reestimación de referencia posterior al dato efectivo
2026-07-01,total,IMACEC total,ine,m8p,M8P · INE + IVS real parsimonioso,Reestimación de referencia; el dato efectivo ya existe,-1.8630128881247934,-3.5041107506767455,-0.22191502557284126,0.8,1.1,2026-08-01,-1.487117150040529,2026-09-08,2026-09-08 17:23:37 UTC,FALSE,Reestimación de referencia posterior al dato efectivo
2026-07-01,no_minero,IMACEC no minero,ine,m8p,M8P · INE + IVS real parsimonioso,Reestimación de referencia; el dato efectivo ya existe,-1.0990234829324341,-2.83528140800599,0.6372344421411216,0.8,1,2026-08-01,-0.30982965559617215,2026-09-08,2026-09-08 17:23:37 UTC,FALSE,Reestimación de referencia posterior al dato efectivo
